Picture Number:   65	 QP:   37  [ PSNR-Y: 42.39 dB,	PSNR-U: 47.29 dB,	PSNR-V: 47.91 dB,	MSE-Y: 3.75,	MSE-U: 1.21,	MSE-V: 1.05,	SSIM-Y: 0.98941,	SSIM-U: 0.99105,	SSIM-V: 0.99064 ]	   1387 bytes
Picture Number:   66	 QP:   35  [ PSNR-Y: 41.51 dB,	PSNR-U: 47.46 dB,	PSNR-V: 47.71 dB,	MSE-Y: 4.59,	MSE-U: 1.17,	MSE-V: 1.10,	SSIM-Y: 0.98844,	SSIM-U: 0.99136,	SSIM-V: 0.99014 ]	      5 bytes
Picture Number:   67	 QP:   37  [ PSNR-Y: 40.86 dB,	PSNR-U: 47.07 dB,	PSNR-V: 47.54 dB,	MSE-Y: 5.34,	MSE-U: 1.28,	MSE-V: 1.15,	SSIM-Y: 0.98744,	SSIM-U: 0.99093,	SSIM-V: 0.98970 ]	     31 bytes
Picture Number:   68	 QP:   33  [ PSNR-Y: 40.94 dB,	PSNR-U: 47.35 dB,	PSNR-V: 47.65 dB,	MSE-Y: 5.24,	MSE-U: 1.20,	MSE-V: 1.12,	SSIM-Y: 0.98744,	SSIM-U: 0.99090,	SSIM-V: 0.98998 ]	      5 bytes
Picture Number:   69	 QP:   37  [ PSNR-Y: 40.60 dB,	PSNR-U: 47.15 dB,	PSNR-V: 47.62 dB,	MSE-Y: 5.66,	MSE-U: 1.25,	MSE-V: 1.12,	SSIM-Y: 0.98659,	SSIM-U: 0.99084,	SSIM-V: 0.99001 ]	    102 bytes
Picture Number:   70	 QP:   35  [ PSNR-Y: 40.39 dB,	PSNR-U: 46.98 dB,	PSNR-V: 47.59 dB,	MSE-Y: 5.94,	MSE-U: 1.30,	MSE-V: 1.13,	SSIM-Y: 0.98618,	SSIM-U: 0.99074,	SSIM-V: 0.99006 ]	      5 bytes
Picture Number:   71	 QP:   37  [ PSNR-Y: 40.32 dB,	PSNR-U: 46.77 dB,	PSNR-V: 47.24 dB,	MSE-Y: 6.05,	MSE-U: 1.37,	MSE-V: 1.23,	SSIM-Y: 0.98635,	SSIM-U: 0.99054,	SSIM-V: 0.98943 ]	     35 bytes
Picture Number:   72	 QP:   28  [ PSNR-Y: 41.47 dB,	PSNR-U: 46.28 dB,	PSNR-V: 46.76 dB,	MSE-Y: 4.63,	MSE-U: 1.53,	MSE-V: 1.37,	SSIM-Y: 0.98767,	SSIM-U: 0.98967,	SSIM-V: 0.98849 ]	      5 bytes
Picture Number:   73	 QP:   37  [ PSNR-Y: 40.35 dB,	PSNR-U: 46.29 dB,	PSNR-V: 46.63 dB,	MSE-Y: 6.00,	MSE-U: 1.53,	MSE-V: 1.41,	SSIM-Y: 0.98651,	SSIM-U: 0.98952,	SSIM-V: 0.98816 ]	    205 bytes
Picture Number:   74	 QP:   35  [ PSNR-Y: 40.50 dB,	PSNR-U: 45.92 dB,	PSNR-V: 46.64 dB,	MSE-Y: 5.79,	MSE-U: 1.66,	MSE-V: 1.41,	SSIM-Y: 0.98658,	SSIM-U: 0.98923,	SSIM-V: 0.98807 ]	      5 bytes
Picture Number:   75	 QP:   37  [ PSNR-Y: 40.32 dB,	PSNR-U: 46.07 dB,	PSNR-V: 46.68 dB,	MSE-Y: 6.03,	MSE-U: 1.61,	MSE-V: 1.40,	SSIM-Y: 0.98649,	SSIM-U: 0.98945,	SSIM-V: 0.98800 ]	     28 bytes
Picture Number:   76	 QP:   33  [ PSNR-Y: 40.37 dB,	PSNR-U: 46.24 dB,	PSNR-V: 47.01 dB,	MSE-Y: 5.97,	MSE-U: 1.55,	MSE-V: 1.29,	SSIM-Y: 0.98626,	SSIM-U: 0.98977,	SSIM-V: 0.98887 ]	      5 bytes
Picture Number:   77	 QP:   37  [ PSNR-Y: 40.48 dB,	PSNR-U: 46.87 dB,	PSNR-V: 47.36 dB,	MSE-Y: 5.83,	MSE-U: 1.34,	MSE-V: 1.19,	SSIM-Y: 0.98606,	SSIM-U: 0.99031,	SSIM-V: 0.98961 ]	    129 bytes
Picture Number:   78	 QP:   35  [ PSNR-Y: 40.52 dB,	PSNR-U: 47.26 dB,	PSNR-V: 47.75 dB,	MSE-Y: 5.77,	MSE-U: 1.22,	MSE-V: 1.09,	SSIM-Y: 0.98535,	SSIM-U: 0.99071,	SSIM-V: 0.99045 ]	      5 bytes
Picture Number:   79	 QP:   37  [ PSNR-Y: 41.31 dB,	PSNR-U: 47.38 dB,	PSNR-V: 47.87 dB,	MSE-Y: 4.81,	MSE-U: 1.19,	MSE-V: 1.06,	SSIM-Y: 0.98740,	SSIM-U: 0.99079,	SSIM-V: 0.99075 ]	     31 bytes
Picture Number:   80	 QP:   18  [ PSNR-Y: 42.41 dB,	PSNR-U: 47.27 dB,	PSNR-V: 47.93 dB,	MSE-Y: 3.73,	MSE-U: 1.22,	MSE-V: 1.05,	SSIM-Y: 0.98902,	SSIM-U: 0.99065,	SSIM-V: 0.99087 ]	      5 bytes
Picture Number:   81	 QP:   37  [ PSNR-Y: 41.46 dB,	PSNR-U: 47.15 dB,	PSNR-V: 47.88 dB,	MSE-Y: 4.64,	MSE-U: 1.25,	MSE-V: 1.06,	SSIM-Y: 0.98820,	SSIM-U: 0.99051,	SSIM-V: 0.99077 ]	    905 bytes
Picture Number:   82	 QP:   36  [ PSNR-Y: 41.06 dB,	PSNR-U: 47.10 dB,	PSNR-V: 47.76 dB,	MSE-Y: 5.09,	MSE-U: 1.27,	MSE-V: 1.09,	SSIM-Y: 0.98792,	SSIM-U: 0.99083,	SSIM-V: 0.99063 ]	      5 bytes
Picture Number:   83	 QP:   37  [ PSNR-Y: 40.35 dB,	PSNR-U: 46.78 dB,	PSNR-V: 47.63 dB,	MSE-Y: 6.00,	MSE-U: 1.36,	MSE-V: 1.12,	SSIM-Y: 0.98661,	SSIM-U: 0.99036,	SSIM-V: 0.99039 ]	     28 bytes
Picture Number:   84	 QP:   34  [ PSNR-Y: 40.28 dB,	PSNR-U: 46.66 dB,	PSNR-V: 47.39 dB,	MSE-Y: 6.09,	MSE-U: 1.40,	MSE-V: 1.19,	SSIM-Y: 0.98626,	SSIM-U: 0.99027,	SSIM-V: 0.98970 ]	      5 bytes
